AVERAGE,CLEANLINESS,COMMUNICATION,CHECKIN,ACCURACY,LOCATION,VALUE,RATINGS_ID
3.6,4.1,4.8,2.8,4.2,2.3,3.9,68
3.3,5.0,4.8,1.9,1.8,4.3,2.3,69
2.9,1.8,1.7,4.1,3.8,3.5,3.0,70
3.6,2.8,4.5,4.6,3.7,2.9,3.7,71
4.2,4.2,4.5,3.0,4.4,5.0,4.5,72
2.7,2.1,1.8,2.4,1.3,4.2,4.5,73
3.2,4.8,2.0,3.4,2.0,3.3,3.8,74
3.4,3.6,5.0,5.0,1.4,1.0,4.5,75
2.8,1.1,3.4,2.9,4.7,2.7,2.4,76
2.9,2.8,3.5,1.6,4.4,3.5,1.8,77
2.8,2.1,2.4,4.6,4.8,1.7,1.4,78
3.1,2.3,2.7,2.4,4.2,4.4,2.8,79
2.8,1.7,4.6,2.4,1.8,2.9,3.4,80
2.9,1.3,4.4,3.1,2.3,2.5,4.0,81
2.6,3.0,1.4,1.7,2.4,4.0,3.1,82
3.2,1.2,2.0,4.5,4.9,2.0,4.9,83
3.8,3.4,5.0,1.3,4.4,4.2,4.6,84
3.7,2.3,3.7,3.5,5.0,3.6,4.1,85
3.1,3.3,4.9,2.5,3.3,3.6,1.1,86
2.7,3.6,3.7,1.5,3.5,2.7,1.6,87
3.8,4.7,5.0,1.7,4.8,3.2,3.7,88
4.1,3.8,3.6,3.1,5.0,4.9,4.7,89
1.9,1.7,1.3,3.7,1.3,1.3,2.2,90
2.4,4.1,1.0,3.8,1.0,3.7,1.1,91
2.8,2.3,1.5,1.3,2.9,4.5,4.3,92
3.3,3.5,4.6,1.3,2.5,4.2,3.9,93
2.7,1.1,4.8,2.5,1.8,2.4,4.0,94
3.2,2.1,4.1,3.8,4.5,2.8,1.9,95
3.1,3.8,4.4,1.6,4.9,1.6,2.3,96
3.3,4.3,1.4,4.4,4.4,3.8,1.5,97
3.5,3.4,4.3,3.1,4.8,4.1,1.6,98
3.6,3.4,2.2,4.8,3.3,4.6,3.8,99
3.0,1.7,2.3,4.0,1.2,4.8,4.3,100
