NAME,DATE,REVIEW_BODY,PROFILE_PIC,RATINGS_ID
Deb Johnson,October 2014, The owner wouldn't let me bring my pet bear. You can tell the owner really likes bears. I want my money back. I wish I could have stayed longer. The owner has the best style. This place is awesome! But seriously tell all your friends! The torcher chamber was a bit too much. It was quite a drive from the airport. And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,2
Henry Fradley,July 2020, My partner and I always wanted to visit. It was quite a drive from the airport. The torcher chamber was a bit too much. But seriously tell all your friends! But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,2
Derek Warner-Reyes,October 2009, You can tell the owner really likes bears. NO INDOOR PLUMBING!! The view form the back porch was to die for. BEST TRIP EVER! Why didn't I find this place sooner? And I would do it again! The place smelled very bad! The owner has the best style. I wish I could have stayed longer.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,2
Zain Padela,June 2013, I do not regret anything! I wish I could have stayed longer.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,2
Connor Wilson,October 2017, But seriously tell all your friends! The torcher chamber was a bit too much. I came here for my honemoon. The owner has the best style. This place is awesome! I wish I could have stayed longer. NO INDOOR PLUMBING!! The town was very cute. Why didn't I find this place sooner? BE WARNED! You can tell the owner really likes bears. I do not regret anything! The owner wouldn't let me bring my pet bear. We had so much fun! And I would do it again! The place smelled very bad! It was quite a drive from the airport. The view form the back porch was to die for. Very much worth it. But the owner was cool. BEST TRIP EVER! My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3775540.jpeg,2
Zach McCain,September 2020, I wish I could have stayed longer. And I would do it again! The owner has the best style. The town was very cute. The torcher chamber was a bit too much. BE WARNED! BEST TRIP EVER! We had so much fun! It was quite a drive from the airport. The view form the back porch was to die for. The place smelled very bad! But seriously tell all your friends! You can tell the owner really likes bears. This place is awesome! I do not regret anything! My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,3
Matthew Morgan,October 2018, I came here for my honemoon. The view form the back porch was to die for. This place is awesome! BE WARNED! BEST TRIP EVER! The torcher chamber was a bit too much. I wish I could have stayed longer. NO INDOOR PLUMBING!! It was quite a drive from the airport. The town was very cute. The owner has the best style. But seriously tell all your friends! I want my money back. The place smelled very bad! You can tell the owner really likes bears. Why didn't I find this place sooner? Very much worth it. We had so much fun! My partner and I always wanted to visit.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,3
Alex Sandoval,October 2016, But the owner was cool. Why didn't I find this place sooner? We had so much fun! The owner wouldn't let me bring my pet bear. The torcher chamber was a bit too much. NO INDOOR PLUMBING!! It was quite a drive from the airport. You can tell the owner really likes bears. But seriously tell all your friends! BEST TRIP EVER! My partner and I always wanted to visit. I do not regret anything! And I would do it again! The place smelled very bad! This place is awesome! The town was very cute. I came here for my honemoon. The owner has the best style. Very much worth it.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,3
David Kim,January 2017, The owner wouldn't let me bring my pet bear. But seriously tell all your friends! The torcher chamber was a bit too much. NO INDOOR PLUMBING!! It was quite a drive from the airport. The town was very cute. BEST TRIP EVER! Why didn't I find this place sooner? The place smelled very bad! I do not regret anything! Very much worth it. I wish I could have stayed longer. But the owner was cool. I want my money back. You can tell the owner really likes bears. The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,3
Brandon Elzy,July 2014, The owner wouldn't let me bring my pet bear. The place smelled very bad! And I would do it again! It was quite a drive from the airport. The torcher chamber was a bit too much. NO INDOOR PLUMBING!! My partner and I always wanted to visit. Very much worth it. Why didn't I find this place sooner? I do not regret anything! The town was very cute. I want my money back. This place is awesome!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4626351.jpeg,4
Genaro Salinas,June 2010, Very much worth it. It was quite a drive from the airport.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,4
Zach McCain,February 2020, NO INDOOR PLUMBING!!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3775540.jpeg,4
Tre' Moore,August 2013, I wish I could have stayed longer. I came here for my honemoon. My partner and I always wanted to visit. You can tell the owner really likes bears. BEST TRIP EVER! But the owner was cool. Very much worth it. This place is awesome! The view form the back porch was to die for. We had so much fun! Why didn't I find this place sooner? The owner wouldn't let me bring my pet bear. I want my money back. The place smelled very bad! I do not regret anything!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,4
Ben Rasmussen,December 2015, BE WARNED! NO INDOOR PLUMBING!! The town was very cute. Very much worth it. Why didn't I find this place sooner? The place smelled very bad! I wish I could have stayed longer. And I would do it again! But the owner was cool. The view form the back porch was to die for. BEST TRIP EVER! I want my money back. I do not regret anything! I came here for my honemoon. You can tell the owner really likes bears. But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,4
Derek Warner-Reyes,September 2016, The place smelled very bad! My partner and I always wanted to visit. The view form the back porch was to die for. The town was very cute. Very much worth it. I do not regret anything! BE WARNED! Why didn't I find this place sooner? BEST TRIP EVER! The owner has the best style. The torcher chamber was a bit too much. NO INDOOR PLUMBING!! But seriously tell all your friends! And I would do it again! You can tell the owner really likes bears. This place is awesome! I wish I could have stayed longer. But the owner was cool. I want my money back. We had so much fun! I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,4
Joe Wnukoski,May 2012, Very much worth it. NO INDOOR PLUMBING!! The owner wouldn't let me bring my pet bear. The view form the back porch was to die for. And I would do it again! Why didn't I find this place sooner? I want my money back. The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,4
Seth Lassen,November 2020, I do not regret anything! NO INDOOR PLUMBING!! My partner and I always wanted to visit. Why didn't I find this place sooner? Very much worth it. We had so much fun! The view form the back porch was to die for. The place smelled very bad! This place is awesome! The owner wouldn't let me bring my pet bear. BEST TRIP EVER! I came here for my honemoon. It was quite a drive from the airport. The torcher chamber was a bit too much. I wish I could have stayed longer. But seriously tell all your friends! But the owner was cool. I want my money back. The owner has the best style. And I would do it again! BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,4
Matthew Morgan,August 2020, The view form the back porch was to die for. I came here for my honemoon. We had so much fun! The place smelled very bad! I want my money back. It was quite a drive from the airport. But seriously tell all your friends! But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4100670.jpeg,4
Dylan Ring,August 2011, I came here for my honemoon. BEST TRIP EVER! My partner and I always wanted to visit. I want my money back. It was quite a drive from the airport. I do not regret anything! NO INDOOR PLUMBING!! The owner has the best style. I wish I could have stayed longer. The view form the back porch was to die for. And I would do it again! Very much worth it. The place smelled very bad! The torcher chamber was a bit too much. You can tell the owner really likes bears. But the owner was cool. The owner wouldn't let me bring my pet bear. This place is awesome! BE WARNED! But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,4
Elene Mikaberidze,December 2020, NO INDOOR PLUMBING!! The owner wouldn't let me bring my pet bear. We had so much fun! It was quite a drive from the airport. This place is awesome! BEST TRIP EVER! Why didn't I find this place sooner? I do not regret anything! And I would do it again! I came here for my honemoon. BE WARNED! I want my money back. But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886781.jpeg,4
Mukhtar Bahadory,September 2012, Why didn't I find this place sooner? I came here for my honemoon. The place smelled very bad! I want my money back. NO INDOOR PLUMBING!! It was quite a drive from the airport. The town was very cute. The torcher chamber was a bit too much. I do not regret anything! The view form the back porch was to die for. The owner wouldn't let me bring my pet bear. And I would do it again! But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,4
Christina Meador,April 2015, The town was very cute. The owner wouldn't let me bring my pet bear. I want my money back. My partner and I always wanted to visit. You can tell the owner really likes bears. The torcher chamber was a bit too much. The view form the back porch was to die for. I do not regret anything! We had so much fun! I came here for my honemoon. Why didn't I find this place sooner? But the owner was cool. I wish I could have stayed longer. BE WARNED! BEST TRIP EVER! It was quite a drive from the airport.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,4
John Campbell,January 2019, I wish I could have stayed longer. Why didn't I find this place sooner? We had so much fun! It was quite a drive from the airport. I do not regret anything! This place is awesome! BEST TRIP EVER! You can tell the owner really likes bears. Very much worth it. BE WARNED! The town was very cute. The owner has the best style. And I would do it again! I came here for my honemoon.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,4
David Kim,October 2015, I wish I could have stayed longer. The owner has the best style. This place is awesome! The place smelled very bad! But seriously tell all your friends! BEST TRIP EVER! Why didn't I find this place sooner? We had so much fun! Very much worth it. My partner and I always wanted to visit. The owner wouldn't let me bring my pet bear. It was quite a drive from the airport. But the owner was cool. The view form the back porch was to die for. The town was very cute. BE WARNED! NO INDOOR PLUMBING!! I do not regret anything! I came here for my honemoon. And I would do it again! I want my money back.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,4
Mitch McDermott,June 2008, We had so much fun! Why didn't I find this place sooner? The place smelled very bad! It was quite a drive from the airport. The view form the back porch was to die for. But seriously tell all your friends! This place is awesome! The owner wouldn't let me bring my pet bear. But the owner was cool. My partner and I always wanted to visit. I want my money back. And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4100670.jpeg,5
Christina Meador,October 2017, And I would do it again! The place smelled very bad! You can tell the owner really likes bears. I want my money back. The torcher chamber was a bit too much. I wish I could have stayed longer. I came here for my honemoon. This place is awesome! The view form the back porch was to die for. The town was very cute. The owner wouldn't let me bring my pet bear. We had so much fun! It was quite a drive from the airport. The owner has the best style. But the owner was cool. Why didn't I find this place sooner? BE WARNED! But seriously tell all your friends! Very much worth it.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,5
Rebecca Wiegel,December 2016, The town was very cute. The view form the back porch was to die for. It was quite a drive from the airport. I came here for my honemoon. The owner has the best style. My partner and I always wanted to visit. I do not regret anything! I wish I could have stayed longer. I want my money back. We had so much fun! But the owner was cool. You can tell the owner really likes bears. Why didn't I find this place sooner? The owner wouldn't let me bring my pet bear. The place smelled very bad! BEST TRIP EVER! The torcher chamber was a bit too much. BE WARNED! And I would do it again! But seriously tell all your friends! Very much worth it.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,5
Daniel Lee,March 2019, I wish I could have stayed longer. BEST TRIP EVER! It was quite a drive from the airport. But seriously tell all your friends! We had so much fun! NO INDOOR PLUMBING!! I came here for my honemoon. The owner wouldn't let me bring my pet bear. Why didn't I find this place sooner? I do not regret anything! But the owner was cool. I want my money back. The owner has the best style. The torcher chamber was a bit too much. This place is awesome! My partner and I always wanted to visit. The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,5
John Anderton,July 2015, The torcher chamber was a bit too much. But the owner was cool. Very much worth it. I came here for my honemoon. I do not regret anything! I wish I could have stayed longer. BEST TRIP EVER! And I would do it again! We had so much fun! The view form the back porch was to die for. This place is awesome! The owner wouldn't let me bring my pet bear. NO INDOOR PLUMBING!! BE WARNED! The owner has the best style. Why didn't I find this place sooner? My partner and I always wanted to visit. The place smelled very bad! The town was very cute. It was quite a drive from the airport.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3775540.jpeg,5
Mukhtar Bahadory,March 2008, And I would do it again! The torcher chamber was a bit too much. BE WARNED! This place is awesome! Very much worth it. But the owner was cool. The view form the back porch was to die for. BEST TRIP EVER! I came here for my honemoon. But seriously tell all your friends! The owner has the best style. The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4123910.jpeg,5
Taylor Anderson,May 2008, My partner and I always wanted to visit. I want my money back. But seriously tell all your friends! BEST TRIP EVER! You can tell the owner really likes bears.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,5
John Kelly,October 2015, But seriously tell all your friends! My partner and I always wanted to visit. I want my money back. This place is awesome! And I would do it again! BE WARNED! But the owner was cool. The place smelled very bad! Very much worth it. I came here for my honemoon. The owner has the best style. I wish I could have stayed longer. The town was very cute. You can tell the owner really likes bears. NO INDOOR PLUMBING!! The owner wouldn't let me bring my pet bear. It was quite a drive from the airport. Why didn't I find this place sooner? BEST TRIP EVER! The torcher chamber was a bit too much.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,5
Fabian Yee,July 2014, I wish I could have stayed longer. You can tell the owner really likes bears. The place smelled very bad! My partner and I always wanted to visit. NO INDOOR PLUMBING!! I came here for my honemoon. This place is awesome! It was quite a drive from the airport. Very much worth it. I do not regret anything! The town was very cute. Why didn't I find this place sooner? The owner wouldn't let me bring my pet bear. BEST TRIP EVER! The torcher chamber was a bit too much.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,5
John Campbell,July 2012, It was quite a drive from the airport.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,5
Connor Wilson,August 2008, You can tell the owner really likes bears. BEST TRIP EVER! NO INDOOR PLUMBING!! It was quite a drive from the airport. BE WARNED! This place is awesome! Very much worth it. The owner has the best style. My partner and I always wanted to visit. And I would do it again! I came here for my honemoon. But the owner was cool. The place smelled very bad! The torcher chamber was a bit too much. But seriously tell all your friends! The owner wouldn't let me bring my pet bear. Why didn't I find this place sooner? I do not regret anything! The town was very cute. I wish I could have stayed longer.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4626351.jpeg,5
Brandon Elzy,January 2019, The torcher chamber was a bit too much. BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-415829.jpeg,5
Quentin McMillian,May 2014, NO INDOOR PLUMBING!! Why didn't I find this place sooner? I came here for my honemoon. I want my money back. BEST TRIP EVER! But the owner was cool.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,5
Henry Fradley,July 2013, BE WARNED! But seriously tell all your friends! The town was very cute. The place smelled very bad! Very much worth it. I wish I could have stayed longer. The torcher chamber was a bit too much. We had so much fun! The view form the back porch was to die for. Why didn't I find this place sooner? The owner has the best style.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4886801.jpeg,5
Michael Wetterauer,April 2014, The view form the back porch was to die for. BEST TRIP EVER! The owner has the best style. The town was very cute. But the owner was cool. I wish I could have stayed longer. We had so much fun! NO INDOOR PLUMBING!! But seriously tell all your friends! Why didn't I find this place sooner? And I would do it again! I do not regret anything!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,5
Sam Goldie,May 2015, I wish I could have stayed longer. This place is awesome! But seriously tell all your friends! I do not regret anything!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,6
Dylan Ring,September 2019, The owner wouldn't let me bring my pet bear. The view form the back porch was to die for. BE WARNED! The owner has the best style. My partner and I always wanted to visit. The torcher chamber was a bit too much. But seriously tell all your friends! This place is awesome! I wish I could have stayed longer. I want my money back. The town was very cute. We had so much fun! Why didn't I find this place sooner? You can tell the owner really likes bears. It was quite a drive from the airport. But the owner was cool. And I would do it again! BEST TRIP EVER!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-4153618.jpeg,6
Matthew Morgan,August 2011, My partner and I always wanted to visit. The view form the back porch was to die for. This place is awesome! Why didn't I find this place sooner? I want my money back.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,6
Nick Mendini,November 2011, NO INDOOR PLUMBING!! Very much worth it. We had so much fun! The place smelled very bad! The torcher chamber was a bit too much. The owner has the best style. I want my money back. And I would do it again! You can tell the owner really likes bears. The town was very cute. But seriously tell all your friends! It was quite a drive from the airport.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-5853675.jpeg,6
Giovani Maccagno,November 2013, I came here for my honemoon. The place smelled very bad! And I would do it again! NO INDOOR PLUMBING!! But seriously tell all your friends! You can tell the owner really likes bears. BE WARNED! I do not regret anything! BEST TRIP EVER!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-220453.jpeg,6
Christina Meador,March 2010, BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,6
Seth Lassen,July 2010, The owner wouldn't let me bring my pet bear. But seriously tell all your friends! I do not regret anything! But the owner was cool. The place smelled very bad! I want my money back. This place is awesome! NO INDOOR PLUMBING!! BE WARNED! I came here for my honemoon. You can tell the owner really likes bears. I wish I could have stayed longer. Why didn't I find this place sooner? Very much worth it. The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,6
Ben Rasmussen,January 2019, Why didn't I find this place sooner? BEST TRIP EVER! Very much worth it. The view form the back porch was to die for.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,7
Zach McCain,August 2012, The town was very cute. You can tell the owner really likes bears. I want my money back. I wish I could have stayed longer. I came here for my honemoon. This place is awesome! We had so much fun! The torcher chamber was a bit too much. My partner and I always wanted to visit. Why didn't I find this place sooner? BE WARNED! The owner wouldn't let me bring my pet bear. But the owner was cool. BEST TRIP EVER! Very much worth it. I do not regret anything! The view form the back porch was to die for. And I would do it again! But seriously tell all your friends! The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3775540.jpeg,7
Joe Buono,November 2010, But the owner was cool. Very much worth it. My partner and I always wanted to visit. But seriously tell all your friends! You can tell the owner really likes bears. We had so much fun! The town was very cute. This place is awesome! I do not regret anything! BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,7
Henry Fradley,June 2009, The owner wouldn't let me bring my pet bear. But the owner was cool. It was quite a drive from the airport. You can tell the owner really likes bears. We had so much fun! I do not regret anything! Why didn't I find this place sooner? And I would do it again! BE WARNED!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,7
Genaro Salinas,January 2011, But seriously tell all your friends! This place is awesome! I do not regret anything! NO INDOOR PLUMBING!! BEST TRIP EVER! The place smelled very bad! The owner wouldn't let me bring my pet bear. The town was very cute. But the owner was cool. Why didn't I find this place sooner?,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3970387.jpeg,7
Daniel Lee,March 2014, This place is awesome! I came here for my honemoon. Very much worth it. Why didn't I find this place sooner? My partner and I always wanted to visit. We had so much fun! The owner wouldn't let me bring my pet bear.,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,7
Alysa Shin,April 2009, My partner and I always wanted to visit. NO INDOOR PLUMBING!! The owner has the best style. But the owner was cool. And I would do it again! This place is awesome! Very much worth it. I wish I could have stayed longer. I do not regret anything! We had so much fun! You can tell the owner really likes bears. The town was very cute. The owner wouldn't let me bring my pet bear. I want my money back. I came here for my honemoon. The torcher chamber was a bit too much. BEST TRIP EVER! The place smelled very bad!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3770317.jpeg,8
Tre' Moore,April 2018, We had so much fun! The owner has the best style. Why didn't I find this place sooner? The torcher chamber was a bit too much. But the owner was cool. I came here for my honemoon. The place smelled very bad! I do not regret anything! BE WARNED! BEST TRIP EVER! It was quite a drive from the airport. I wish I could have stayed longer. NO INDOOR PLUMBING!! The view form the back porch was to die for. Very much worth it. This place is awesome! The owner wouldn't let me bring my pet bear. The town was very cute. But seriously tell all your friends! And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1310522.jpeg,8
John Campbell,June 2013, Very much worth it. I want my money back. But seriously tell all your friends! The torcher chamber was a bit too much. This place is awesome! Why didn't I find this place sooner? And I would do it again!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-2726111.jpeg,8
Michael Chen,October 2019, It was quite a drive from the airport. I came here for my honemoon. But seriously tell all your friends! The torcher chamber was a bit too much. Very much worth it. But the owner was cool. The town was very cute. I want my money back. BE WARNED! This place is awesome! Why didn't I find this place sooner? The place smelled very bad! And I would do it again! My partner and I always wanted to visit. NO INDOOR PLUMBING!! I wish I could have stayed longer. BEST TRIP EVER!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-3851312.jpeg,8
Zach McCain,May 2012, The place smelled very bad! I want my money back. And I would do it again! NO INDOOR PLUMBING!! I do not regret anything! You can tell the owner really likes bears. The owner has the best style. I wish I could have stayed longer. BEST TRIP EVER! The torcher chamber was a bit too much. BE WARNED! The view form the back porch was to die for. But the owner was cool. The town was very cute. My partner and I always wanted to visit. I came here for my honemoon. Very much worth it. The owner wouldn't let me bring my pet bear. Why didn't I find this place sooner? We had so much fun! It was quite a drive from the airport. But seriously tell all your friends!,https://beartnt-profile-photos.s3.us-east-2.amazonaws.com/beartnt+profile+photos/pexels-photo-1484810.jpeg,8
